##
#
"409337856","409354239","CA","CAN","Canada"
"409370624","409731071","US","USA","United States"
"409731072","409862143","CA","CAN","Canada"
"409862144","410124287","US","USA","United States"
"410124288","410189823","CA","CAN","Canada"
"410189824","410648575","US","USA","United States"
"410648576","410714111","CA","CAN","Canada"
"410714112","411156479","US","USA","United States"
"411164672","411168767","CA","CAN","Canada"
"411172864","411303935","US","USA","United States"
"411303936","411369471","NL","NLD","Netherlands"
"411566080","411639807","US","USA","United States"
"411639808","411664383","CA","CAN","Canada"
"411664384","411680767","US","USA","United States"
"411680768","411746303","CA","CAN","Canada"
"411746304","411762687","PR","PRI","Puerto Rico"
"411762688","411770879","CA","CAN","Canada"
"411770880","411779071","US","USA","United States"
"411779072","411828223","PR","PRI","Puerto Rico"
"411828224","411885567","US","USA","United States"
"411893760","411975679","CA","CAN","Canada"
"411975680","412221439","US","USA","United States"
"412221440","412229631","CA","CAN","Canada"
"412254208","412483583","US","USA","United States"
"412483584","412549119","CA","CAN","Canada"
"412549120","412680191","US","USA","United States"
"412680192","412688383","CA","CAN","Canada"
"412688384","412704767","US","USA","United States"
"412704768","412708863","CA","CAN","Canada"
"412708864","412909567","US","USA","United States"
"412909568","412942335","CA","CAN","Canada"
"412942336","413908991","US","USA","United States"
"413908992","413925375","PR","PRI","Puerto Rico"
"413925376","415760383","US","USA","United States"
"415760384","416022527","CA","CAN","Canada"
"416022528","416153599","US","USA","United States"
"416153600","416161791","BS","BHS","Bahamas"
"416161792","416219135","US","USA","United States"
"416219136","416251903","CA","CAN","Canada"
"416251904","416546815","US","USA","United States"
"416546816","416579583","CA","CAN","Canada"
"416612352","416628735","US","USA","United States"
"416628736","416636927","CA","CAN","Canada"
"416636928","416743423","US","USA","United States"
"416743424","416776191","CA","CAN","Canada"
"416776192","417202175","US","USA","United States"
"417202176","417267711","CA","CAN","Canada"
"417267712","417366015","US","USA","United States"
"417366016","417398783","CA","CAN","Canada"
"417398784","417431551","US","USA","United States"
"417464320","417529855","CA","CAN","Canada"
"417529856","417538047","PR","PRI","Puerto Rico"
"417538048","417775615","US","USA","United States"
"417775616","417796095","CA","CAN","Canada"
"417796096","417800191","US","USA","United States"
"417800192","417808383","BS","BHS","Bahamas"
"417808384","417820671","CA","CAN","Canada"
"417820672","417857535","US","USA","United States"
"417857536","417923071","AR","ARG","Argentina"
"417923072","418062335","US","USA","United States"
"418062336","418070527","CA","CAN","Canada"
"418070528","418078719","US","USA","United States"
"418078720","418119679","CA","CAN","Canada"
"418119680","418316287","US","USA","United States"
"418316288","418320383","CA","CAN","Canada"
"418320384","418643967","US","USA","United States"
"418643968","418668543","CA","CAN","Canada"
"418668544","418672639","US","USA","United States"
"418672640","418676735","CA","CAN","Canada"
"418676736","418693119","BS","BHS","Bahamas"
"418693120","418709503","CA","CAN","Canada"
"418709504","418766847","US","USA","United States"
"418766848","418770943","CA","CAN","Canada"
